county_code,farm_acres,cropland_acres,irrigated_acres,crop_totals_sales_measured_in,farm_income_1,xmas_tree_sale,fertilizer_use,chemical_use,fuel_use_$,hired_labor_cost,contract_labor_cost,worker_number,emus_sold,bee_colonies,honey_sold,ornamental_fish,bison_sale,aquatic_plants,mushroom_spawn_sale,grazing_rotation,producer_age_group,state_lower,county,county_acreage_2000,population
001,"1,406,745","106,924","109,508","6,340,000","15,842",NA,"1,336,000","250,000","2,186,000","5,310,000","487,000",297,NA,4,0,NA,NA,NA,NA,99,56,wyoming,Albany,2757625.6,37066
003,"174,803","110,438","7,429","101,620,000","35,436",1,"13,045,000","12,939,000","5,053,000","15,444,000","2,204,000","1,148",NA,376,"38,000",NA,NA,NA,NA,95,59.8,alabama,Baldwin,1297235.2,231767
003,"973,407","152,855","86,008","82,425,000","11,728",NA,"13,055,000","6,218,000","8,487,000","15,128,000","5,135,000","1,301",0,422,"5,000",NA,NA,2,NA,156,58.1,arizona,Cochise,3980012.8000000003,125447
003,"131,948","103,931","88,911","63,443,000","65,536",2,"7,371,000","8,417,000","4,305,000","6,727,000","532,000",601,NA,34,"5,000",NA,NA,NA,NA,23,57.9,arkansas,Ashley,601011.2000000001,19062
003,"3,173",0,0,0,0,NA,0,0,"12,000",0,0,3,NA,0,0,NA,NA,NA,NA,3,55.3,california,Alpine,475641.60000000003,1204
003,"192,030","81,082","79,543","81,248,000","75,811",1,"10,378,000","5,414,000","4,309,000","12,834,000","1,976,000",996,NA,15,0,NA,1,NA,NA,52,57,colorado,Alamosa,463059.19999999995,16376
003,"47,858","26,209","3,357","89,276,000","15,587",49,"4,271,000","2,737,000","4,234,000","33,959,000","1,340,000","3,137",NA,483,"146,000",NA,NA,4,NA,41,56.2,connecticut,Hartford,480364.80000000005,NA
003,"67,455","53,732","5,140","34,207,000","30,998",5,"4,591,000","2,779,000","2,710,000","9,984,000","708,000",555,0,138,"13,000",NA,NA,NA,NA,40,59.5,delaware,New Castle,315846.4,570719
003,"33,295","3,600",195,"2,124,000","12,784",3,"357,000","107,000","613,000","714,000","115,000",101,NA,"3,243","312,000",NA,1,NA,NA,49,59.4,florida,Baker,376889.6,28259
003,"71,904","40,785","9,110","27,437,000","113,574",NA,"5,275,000","4,431,000","1,961,000","1,925,000","942,000",687,NA,"2,150",0,NA,NA,NA,NA,16,56.6,georgia,Atkinson,220224,8286
003,"71,795","23,067","11,683","136,920,000","11,774",3,"9,919,000","7,491,000","5,177,000","66,781,000","2,361,000","2,768",NA,"1,291","130,000",5,NA,7,NA,51,59.5,hawaii,Honolulu,1361184,1016508
003,"163,054","16,912","22,209","3,198,000","10,837",NA,"281,000","125,000","861,000","1,177,000","193,000",172,NA,6,0,NA,NA,NA,NA,49,60,idaho,Adams,876800,4379
003,"50,484","43,073","2,585","16,366,000","41,578",NA,"2,075,000","1,714,000","672,000","795,000","12,000",73,NA,0,NA,NA,NA,NA,NA,4,58.9,illinois,Alexander,161625.6,5240
003,"281,635","249,509",385,"125,056,000","30,101",5,"15,799,000","9,278,000","6,386,000","7,771,000","785,000",856,NA,188,"25,000",NA,1,NA,NA,71,54.3,indiana,Allen,422464,385410
003,"223,454","174,101",0,"64,146,000","67,593",2,"7,959,000","5,975,000","3,228,000","2,390,000","371,000",367,NA,12,NA,NA,NA,NA,NA,84,59.9,iowa,Adams,272262.4,3704
003,"364,522","242,149","2,927","80,868,000","62,348",NA,"11,440,000","8,271,000","5,647,000","2,538,000","238,000",281,NA,37,"2,000",NA,NA,NA,NA,83,56.2,kansas,Anderson,373945.6,7836
003,"168,697","74,231",235,"23,415,000","11,914",5,"4,550,000","1,593,000","2,296,000","2,834,000","2,812,000",617,NA,553,"29,000",NA,NA,NA,NA,261,53.7,kentucky,Allen,225305.6,20588
003,"94,982","46,358","18,937","14,065,000","8,299",1,"4,005,000","1,954,000","1,876,000","1,091,000","181,000",179,NA,0,0,NA,NA,NA,NA,65,56.3,louisiana,Allen,490028.8,22750
003,"317,082","174,043","12,652","187,632,000","74,660",29,"19,645,000","13,360,000","9,020,000","33,165,000","1,115,000","3,137",NA,83,"17,000",NA,2,NA,NA,87,54.9,maine,Aroostook,4370425.6,67105
003,"27,003","14,551",163,"12,837,000","9,291",2,"911,000","351,000","1,094,000","5,862,000","442,000",440,NA,81,"8,000",NA,NA,NA,NA,84,58.3,maryland,Anne Arundel,376256,588261
003,"58,647","19,054",270,"10,053,000","1,153",19,"1,000,000","303,000","1,277,000","7,207,000","288,000",582,NA,187,"56,000",NA,NA,NA,NA,74,58.6,massachusetts,Berkshire,605612.8,129026
003,"20,961","9,937",46,"1,262,000",-559,3,"156,000","35,000","306,000","500,000","50,000",54,NA,35,"2,000",NA,NA,1,NA,29,52,michigan,Alger,3231411.2,8842
003,"39,047","29,420","3,000","35,168,000","36,178",6,"1,906,000","1,357,000","2,514,000","25,219,000","320,000","1,024",6,265,"28,000",NA,NA,NA,NA,42,55.3,minnesota,Anoka,285606.4,363887
003,"82,579","39,407",0,"15,014,000","8,007",1,"2,059,000","1,604,000","1,381,000","1,950,000","27,000",234,NA,100,"2,000",NA,NA,NA,NA,34,58.4,mississippi,Alcorn,256864,34740
003,"204,944","158,586","1,194","63,904,000","33,935",1,"7,665,000","7,976,000","2,790,000","1,776,000","564,000",294,NA,21,"11,000",NA,NA,NA,NA,94,58.5,missouri,Andrew,279360,18135
003,"3,188,139","223,799","44,093","33,001,000","47,106",NA,"6,418,000","4,405,000","4,109,000","7,663,000","655,000",439,NA,0,0,NA,3,NA,NA,76,57,montana,Big Horn,3209376,13124
003,"491,922","364,429","255,311","192,018,000","128,351",2,"30,064,000","16,480,000","15,555,000","13,732,000","663,000",812,NA,137,"12,000",NA,NA,NA,NA,86,55.4,nebraska,Antelope,549395.2,6295
003,0,"4,017","3,728","11,416,000","5,637",NA,"436,000","94,000","795,000","2,971,000",0,299,NA,42,"19,000",NA,NA,NA,NA,8,60.3,nevada,Clark,5178022.4,2265461
003,"32,464","4,435",267,"3,741,000","-2,133",9,"241,000","34,000","410,000","1,504,000","84,000",198,NA,73,0,NA,NA,NA,NA,59,56.7,new hampshire,Carroll,635033.6,50107
003,"1,051",323,110,"4,972,000","-2,513",3,"163,000","62,000","188,000","2,621,000",0,235,NA,116,"35,000",1,NA,1,NA,6,60.2,new jersey,Bergen,157952,955732
003,"1,260,711","5,067","1,783","134,000","3,060",NA,0,0,"1,200,000","1,704,000","351,000",185,NA,15,NA,NA,NA,NA,NA,83,59,new mexico,Catron,4434579.2,3579
003,"161,713","88,713",354,"25,711,000","21,764",26,"2,517,000","1,729,000","3,297,000","6,236,000","509,000",665,NA,580,"81,000",NA,NA,NA,NA,159,54.5,new york,Allegany,662028.8,46456
003,"54,146","22,740",334,"8,475,000","131,461",NA,"1,638,000","991,000","2,720,000","3,590,000","2,556,000",434,NA,116,"23,000",NA,NA,NA,NA,85,56,north carolina,Alexander,168409.59999999998,36444
003,"952,048","819,825","2,481","257,603,000","96,804",NA,"31,010,000","23,678,000","12,696,000","11,178,000","986,000",684,NA,0,0,NA,1,NA,NA,58,55.6,north dakota,Barnes,968467.2,10853
003,"186,623","172,699",369,"85,838,000","42,143",2,"12,623,000","7,242,000","4,586,000","5,350,000","644,000",736,NA,339,"1,000",NA,NA,NA,NA,31,56.5,ohio,Allen,260403.2,102206
003,"523,784","343,240","1,387","41,490,000","24,021",NA,"10,550,000","4,943,000","6,220,000","4,412,000","884,000",367,NA,NA,NA,NA,NA,NA,NA,75,57.8,oklahoma,Alfalfa,564121.6000000001,5699
003,"127,626","68,994","27,151","63,226,000","12,191",57,"7,449,000","5,036,000","3,763,000","20,284,000","5,015,000","1,613",NA,"11,421","599,000",NA,NA,NA,NA,152,57.8,oregon,Benton,434540.80000000005,95184
003,"28,970","15,504",382,"12,368,000","10,712",5,"571,000","334,000","885,000","2,294,000","107,000",445,NA,"1,114","70,000",NA,NA,NA,NA,56,56.2,pennsylvania,Allegheny,476614.4,1250578
003,"9,626","1,142",146,"2,315,000",-910,5,"253,000","92,000","224,000","1,147,000",0,114,NA,22,"6,000",NA,NA,NA,NA,10,53.7,rhode island,Kent,120384,170363
003,"162,628","62,880","8,476","29,141,000","20,277",1,"5,458,000","2,980,000","4,432,000","9,369,000","3,679,000",895,NA,433,"20,000",NA,NA,NA,NA,182,58.9,south carolina,Aiken,691494.4,168808
005,"810,623","548,456","20,121","167,053,000","106,725",NA,"23,152,000","15,277,000","9,778,000","8,876,000","408,000",519,NA,0,"1,162,000",NA,1,NA,NA,114,54.9,south dakota,Beadle,809484.7999999999,19149
003,"237,842","92,584","1,227","21,680,000","29,218",1,"6,216,000","2,068,000","3,966,000","6,187,000","1,814,000",700,NA,332,"27,000",NA,NA,NA,NA,236,58.9,tennessee,Bedford,303891.2,50237
003,"886,765","78,257","12,823","5,128,000","20,091",NA,"912,000","1,009,000","872,000","1,275,000","337,000",86,NA,0,NA,NA,NA,NA,NA,15,56.8,texas,Andrews,960633.6,18610
003,"1,220,773","308,292","103,836","56,906,000","31,038",4,"9,880,000","3,422,000","7,608,000","16,018,000","687,000","1,717",NA,176,"19,000",NA,NA,NA,NA,134,55,utah,Box Elder,4306579.2,57666
003,"33,079","11,048",493,"10,910,000","15,566",14,"379,000","975,000","813,000","2,700,000","350,000",288,NA,211,"24,000",NA,NA,NA,NA,58,60,vermont,Bennington,433708.8,37347
003,"182,781","51,782",783,"18,862,000","-8,665",7,"2,247,000","1,626,000","2,262,000","13,676,000","1,532,000","1,310",NA,237,"21,000",NA,NA,NA,NA,199,60.8,virginia,Albemarle,464755.19999999995,112395
003,"250,865","79,863",890,"7,548,000","17,497",NA,"1,530,000","1,779,000","849,000","978,000","77,000",161,NA,NA,NA,NA,NA,NA,NA,20,59.3,washington,Asotin,410041.60000000003,22285
003,"73,134","37,590",112,"18,698,000","4,392",7,"1,353,000","1,949,000","1,539,000","4,470,000",0,547,NA,"1,573","68,000",3,1,NA,NA,127,55.2,west virginia,Berkeley,205811.19999999998,122076
003,"52,428","24,712",360,"2,640,000","12,490",8,"758,000","250,000","780,000","2,072,000",NA,151,NA,190,0,NA,NA,NA,NA,58,56.7,wisconsin,Ashland,1467987.2,16027
003,"322,241","117,850","107,391","44,574,000","16,889",NA,"7,069,000","2,946,000","4,385,000","9,791,000","930,000",539,NA,18,"532,000",NA,2,NA,NA,120,56.8,wyoming,Big Horn,2021734.4,11521
005,"152,748","37,304","3,600","12,098,000","63,011",2,"2,304,000","1,747,000","2,527,000","4,176,000","1,041,000",339,NA,90,0,NA,NA,NA,NA,51,60.5,alabama,Barbour,578892.8,25223
005,"6,139,007","6,914","1,267","977,000","-2,044",NA,"82,000","17,000","5,692,000","4,359,000","538,000",546,NA,0,0,NA,NA,NA,NA,120,60.4,arizona,Coconino,11943174.399999999,145101
005,"101,444","13,279",33,"872,000","12,470",NA,"691,000","313,000","813,000","938,000","231,000",159,NA,93,"3,000",NA,NA,NA,NA,86,56,arkansas,Baxter,375513.6,41627
005,"181,492","14,646","10,364","23,202,000","-2,280",1,0,"1,322,000","1,299,000","4,958,000","7,584,000",515,NA,105,"3,000",NA,NA,5,NA,76,59.2,california,Amador,387001.60000000003,40474
005,"282,912","136,849","1,155","20,815,000","-7,342",NA,"788,000","1,333,000","1,785,000","6,288,000","1,950,000",293,NA,90,"5,000",NA,2,NA,NA,155,55.7,colorado,Arapahoe,515475.19999999995,655070
005,"90,322","37,395",500,"20,992,000","-3,355",68,"1,921,000","680,000","3,042,000","12,911,000","360,000","1,112",NA,"1,331","132,000",2,2,4,NA,180,57.8,connecticut,Litchfield,604524.8,NA
005,"275,473","242,822","100,278","182,405,000","416,148",7,"22,081,000","19,111,000","10,758,000","30,654,000","8,419,000","2,031",NA,237,"8,000",NA,5,1,NA,76,57.7,delaware,Sussex,765216,237378
005,"73,584","4,583","1,740","2,020,000","9,421",NA,"199,000","48,000","236,000","1,318,000",0,110,NA,885,"120,000",NA,NA,NA,NA,22,56.3,florida,Bay,661292.8,175216
005,"62,167","38,596","6,056","31,876,000","81,027",NA,"4,277,000","4,696,000","1,708,000","4,369,000","2,626,000","1,225",NA,0,0,NA,1,NA,NA,12,55.6,georgia,Bacon,182988.80000000002,11140
007,"150,157","29,262","22,258","45,899,000","-17,122",2,"5,464,000","3,533,000","3,785,000","25,544,000","7,858,000","1,150",NA,"1,063","110,000",NA,1,NA,NA,74,59.8,hawaii,Kauai,810476.7999999999,73298
005,"315,038","181,486","39,973","21,466,000","9,327",NA,"2,664,000","1,344,000","2,735,000","4,673,000","286,000",625,NA,54,"1,000",NA,1,NA,NA,142,59.1,idaho,Bannock,734374.4,87018
005,"172,840","149,841",36,"75,983,000","44,308",3,"12,371,000","8,044,000","4,291,000","2,610,000","130,000",407,NA,73,0,NA,NA,NA,NA,51,56.9,illinois,Bond,244908.80000000002,16725
005,"160,437","142,214","15,488","82,123,000","53,344",3,"11,641,000","7,960,000","2,871,000","2,774,000","399,000",322,NA,38,"2,000",NA,NA,NA,NA,40,57.1,indiana,Bartholomew,261990.40000000002,82208
005,"291,726","188,834",4,"66,738,000","63,118",NA,"12,441,000","6,019,000","6,640,000","8,384,000","1,481,000",624,NA,723,"78,000",NA,NA,NA,NA,82,57.1,iowa,Allamakee,421574.4,14061
005,"235,896","174,297",963,"66,913,000","48,308",NA,"9,016,000","6,665,000","3,482,000","2,360,000","211,000",251,NA,22,0,NA,1,NA,NA,57,57.4,kansas,Atchison,278425.60000000003,16348
005,"81,868","29,055",11,"4,262,000","-3,238",NA,"704,000","214,000","972,000","1,298,000","237,000",315,NA,132,"4,000",NA,NA,NA,NA,130,55.4,kentucky,Anderson,130739.2,23852
005,"38,381","26,281",48,"11,704,000","4,750",NA,"1,421,000","1,123,000","1,009,000","1,776,000","146,000",129,NA,360,"6,000",NA,NA,NA,NA,19,58.9,louisiana,Ascension,193843.2,126500
005,"50,021","15,275",809,"15,596,000","-4,969",21,"838,000","242,000","1,761,000","10,358,000","272,000","1,059",NA,"1,079","193,000",NA,NA,NA,0,102,56.1,maine,Cumberland,778809.6000000001,303069
005,"76,123","50,468",675,"58,663,000","6,796",9,"5,771,000","2,889,000","4,001,000","19,638,000","1,756,000","1,311",NA,"1,359","73,000",NA,NA,5,NA,155,58.5,maryland,Baltimore,436499.19999999995,854535
005,"32,025","13,005","1,953","27,679,000","-3,922",18,"2,268,000","993,000","2,187,000","15,175,000","907,000",928,NA,176,"52,000",NA,NA,NA,NA,68,60,massachusetts,Bristol,442361.60000000003,579200
005,"229,743","196,870","24,845","176,650,000","89,146",16,"17,630,000","11,644,000","13,324,000","68,966,000","9,066,000","4,341",NA,214,"204,000",NA,NA,NA,NA,84,56.1,michigan,Allegan,1173312,120502
005,"367,799","255,999","13,434","103,639,000","54,399",1,"12,482,000","7,810,000","7,816,000","14,582,000","221,000","1,035",NA,0,"147,000",NA,7,NA,NA,70,57.6,minnesota,Becker,924870.3999999999,35183
005,"92,177","19,314",173,"2,049,000","83,974",2,"1,186,000","276,000","1,717,000","1,131,000","585,000",224,NA,0,0,NA,1,NA,NA,48,61,mississippi,Amite,468249.6,12720
005,"302,478","275,095","19,939","143,634,000","123,661",NA,"19,099,000","13,387,000","4,993,000","6,039,000","415,000",341,NA,30,"5,000",NA,NA,NA,NA,23,57.2,missouri,Atchison,350310.4,5305
005,"2,040,127","599,000","44,226","39,564,000","66,687",NA,"6,844,000","4,789,000","7,295,000","5,359,000","700,000",544,NA,0,"3,037,000",NA,1,NA,NA,94,58.3,montana,Blaine,2712908.8,7044
005,"452,733","31,693","8,746","2,389,000","44,813",NA,"435,000","249,000","1,611,000","1,904,000",0,127,NA,NA,NA,NA,NA,NA,NA,23,55.5,nebraska,Arthur,459724.80000000005,434
005,"118,320","21,983","34,683","6,023,000","18,655",1,"312,000","100,000","1,625,000","4,924,000","230,000",274,NA,10,NA,NA,NA,NA,NA,54,60,nevada,Douglas,472096,49488
005,"53,620","10,708",123,"6,927,000","5,700",11,"388,000","97,000","851,000","3,039,000","364,000",465,NA,339,"40,000",NA,NA,NA,NA,94,55,new hampshire,Cheshire,466656,76458
005,"96,256","49,736","12,434","91,098,000","21,856",61,"5,937,000","4,340,000","4,530,000","28,968,000","2,202,000","2,371",NA,563,"98,000",NA,NA,1,NA,101,58.3,new jersey,Burlington,524435.2,461860
005,"2,318,143","62,174","42,794","42,991,000","99,403",NA,"4,557,000","2,995,000","9,731,000","38,839,000","1,195,000","1,430",NA,35,"1,000",NA,NA,NA,NA,63,57.6,new mexico,Chaves,3888044.8,65157
005,"70,593","26,232",0,"18,168,000","19,730",76,"1,999,000","1,031,000","1,928,000","4,926,000","1,789,000",955,NA,225,"13,000",NA,NA,NA,NA,66,58.8,north carolina,Alleghany,150732.80000000002,10888
005,"750,870","586,721","2,028","147,665,000","119,901",NA,"18,187,000","15,903,000","7,912,000","5,992,000","602,000",342,NA,NA,NA,NA,9,NA,NA,33,56.7,north dakota,Benson,921132.8,5964
005,"160,698","120,812",238,"44,201,000","24,376",7,"7,696,000","3,584,000","4,294,000","6,487,000","1,198,000",741,NA,368,"38,000",NA,NA,4,NA,161,52.7,ohio,Ashland,273184,52447
005,"357,305","66,844","1,481","3,339,000","-3,975",NA,"1,189,000","662,000","2,737,000","1,591,000","1,190,000",410,NA,57,"1,000",NA,NA,NA,NA,119,56.5,oklahoma,Atoka,633600,14143
005,"157,426","83,738","20,536","308,376,000","16,378",378,"11,345,000","9,078,000","10,573,000","110,554,000","13,520,000","8,223",0,"13,582","941,000",3,NA,5,NA,625,57.5,oregon,Clackamas,1202566.4,421401
